TEAMRESULT,RK,SEED,S16,E8,FF,NC,W_SIM,CURRENTWINPCT,OVERALLWINPCT,RK_1,SEED_1,S16_1,E8_1,FF_1,NC_1,W_SIM_1,CURRENTWINPCT_1,OVERALLWINPCT_1
0,65,14,0.64,0.00,0.00,0.00,0.09,0.588,0.588,22,4,31.14,10.14,3.70,0.52,1.32,0.656,0.758
1,22,4,31.14,10.14,3.70,0.52,1.32,0.656,0.758,65,14,0.64,0.00,0.00,0.00,0.09,0.588,0.588
1,36,6,14.22,5.34,1.52,0.10,0.73,0.667,0.665,52,13,1.96,0.20,0.04,0.00,0.13,0.553,0.553
0,52,13,1.96,0.20,0.04,0.00,0.13,0.553,0.553,36,6,14.22,5.34,1.52,0.10,0.73,0.667,0.665
0,58,13,1.76,0.16,0.02,0.00,0.17,0.686,0.686,47,11,7.40,1.91,0.39,0.00,0.49,0.662,0.622
1,47,11,7.40,1.91,0.39,0.00,0.49,0.662,0.622,58,13,1.76,0.16,0.02,0.00,0.17,0.686,0.686
1,3,1,79.06,49.94,29.66,12.10,2.91,0.695,0.69,5,3,67.98,46.56,26.34,8.18,2.51,0.648,0.709
0,5,3,67.98,46.56,26.34,8.18,2.51,0.648,0.709,3,1,79.06,49.94,29.66,12.10,2.91,0.695,0.69
0,24,9,17.84,8.86,3.42,0.48,0.95,0.691,0.691,16,5,49.80,18.24,7.80,1.32,1.65,0.659,0.625
1,16,5,49.80,18.24,7.80,1.32,1.65,0.659,0.625,24,9,17.84,8.86,3.42,0.48,0.95,0.691,0.691
1,40,7,8.76,3.26,0.74,0.06,0.57,0.68,0.68,28,11,23.01,9.59,3.91,0.61,0.84,0.603,0.617
0,28,11,23.01,9.59,3.91,0.61,0.84,0.603,0.617,40,7,8.76,3.26,0.74,0.06,0.57,0.68,0.68
1,17,6,28.82,13.26,5.62,1.20,1.07,0.758,0.742,51,14,3.32,0.30,0.04,0.00,0.22,0.506,0.506
0,51,14,3.32,0.30,0.04,0.00,0.22,0.506,0.506,17,6,28.82,13.26,5.62,1.20,1.07,0.758,0.742
1,2,1,75.56,55.46,35.40,13.28,3,0.823,0.759,67,16,0.05,0.00,0.00,0.00,0.02,0.424,0.54
0,67,16,0.05,0.00,0.00,0.00,0.02,0.424,0.54,2,1,75.56,55.46,35.40,13.28,3,0.823,0.759
0,18,7,30.92,15.08,6.40,1.14,1.36,0.579,0.584,22,4,31.14,10.14,3.70,0.52,1.32,0.656,0.758
1,22,4,31.14,10.14,3.70,0.52,1.32,0.656,0.758,18,7,30.92,15.08,6.40,1.14,1.36,0.579,0.584
1,23,6,31.22,13.24,6.16,0.48,1.26,0.625,0.729,4,1,77.58,48.00,29.06,8.62,2.77,0.771,0.789
0,4,1,77.58,48.00,29.06,8.62,2.77,0.771,0.789,23,6,31.22,13.24,6.16,0.48,1.26,0.625,0.729
1,32,11,20.14,8.27,3.64,0.38,0.78,0.731,0.716,25,3,41.30,12.74,3.74,0.36,1.41,0.566,0.596
0,25,3,41.30,12.74,3.74,0.36,1.41,0.566,0.596,32,11,20.14,8.27,3.64,0.38,0.78,0.731,0.716
1,15,2,57.18,26.48,11.04,1.72,1.93,0.679,0.679,19,9,29.72,13.94,6.16,0.80,1.18,0.618,0.645
0,19,9,29.72,13.94,6.16,0.80,1.18,0.618,0.645,15,2,57.18,26.48,11.04,1.72,1.93,0.679,0.679
0,40,7,8.76,3.26,0.74,0.06,0.57,0.68,0.68,60,12,1.54,0.10,0.00,0.00,0.13,0.853,0.853
1,60,12,1.54,0.10,0.00,0.00,0.13,0.853,0.853,40,7,8.76,3.26,0.74,0.06,0.57,0.68,0.68
0,45,7,9.48,2.62,0.64,0.00,0.51,0.581,0.624,2,1,75.56,55.46,35.40,13.28,3,0.823,0.759
1,2,1,75.56,55.46,35.40,13.28,3,0.823,0.759,45,7,9.48,2.62,0.64,0.00,0.51,0.581,0.624
1,39,8,12.12,3.58,1.08,0.06,0.72,0.454,0.512,44,12,7.64,2.18,0.50,0.02,0.38,0.515,0.515
0,44,12,7.64,2.18,0.50,0.02,0.38,0.515,0.515,39,8,12.12,3.58,1.08,0.06,0.72,0.454,0.512
0,48,10,2.86,0.50,0.12,0.00,0.24,0.643,0.65,38,8,10.86,3.56,1.08,0.08,0.51,0.596,0.596
1,38,8,10.86,3.56,1.08,0.08,0.51,0.596,0.596,48,10,2.86,0.50,0.12,0.00,0.24,0.643,0.65
1,19,9,29.72,13.94,6.16,0.80,1.18,0.618,0.645,30,10,21.10,8.04,3.26,0.22,0.95,0.706,0.646
1,3,1,79.06,49.94,29.66,12.10,2.91,0.695,0.69,6,2,65.36,39.84,21.88,6.10,2.4,0.689,0.66
0,30,10,21.10,8.04,3.26,0.22,0.95,0.706,0.646,19,9,29.72,13.94,6.16,0.80,1.18,0.618,0.645
0,32,11,20.14,8.27,3.64,0.38,0.78,0.731,0.716,27,6,24.98,7.84,2.48,0.34,0.83,0.546,0.524
1,10,3,61.20,32.70,18.42,3.14,2.15,0.584,0.554,21,5,33.70,16.94,7.74,0.72,1.34,0.596,0.599
0,21,5,33.70,16.94,7.74,0.72,1.34,0.596,0.599,10,3,61.20,32.70,18.42,3.14,2.15,0.584,0.554
0,66,16,0.02,0.00,0.00,0.00,0.01,0.531,0.531,41,8,6.58,2.42,0.68,0.04,0.47,0.622,0.562
1,41,8,6.58,2.42,0.68,0.04,0.47,0.622,0.562,66,16,0.02,0.00,0.00,0.00,0.01,0.531,0.531
0,62,16,0.45,0.03,0.00,0.00,0.04,0.634,0.576,59,12,3.64,0.34,0.00,0.00,0.2,0.54,0.54
0,11,4,55.72,32.06,16.30,2.20,1.99,0.788,0.765,25,3,41.30,12.74,3.74,0.36,1.41,0.566,0.596
1,25,3,41.30,12.74,3.74,0.36,1.41,0.566,0.596,11,4,55.72,32.06,16.30,2.20,1.99,0.788,0.765
1,59,12,3.64,0.34,0.00,0.00,0.2,0.54,0.54,62,16,0.45,0.03,0.00,0.00,0.04,0.634,0.576
1,46,11,6.12,1.72,0.46,0.00,0.35,0.652,0.652,22,4,31.14,10.14,3.70,0.52,1.32,0.656,0.758
0,22,4,31.14,10.14,3.70,0.52,1.32,0.656,0.758,46,11,6.12,1.72,0.46,0.00,0.35,0.652,0.652
0,28,11,23.01,9.59,3.91,0.61,0.84,0.603,0.617,7,5,63.44,32.84,17.80,5.56,2.18,0.642,0.656
1,7,5,63.44,32.84,17.80,5.56,2.18,0.642,0.656,28,11,23.01,9.59,3.91,0.61,0.84,0.603,0.617
1,30,10,21.10,8.04,3.26,0.22,0.95,0.706,0.646,65,14,0.64,0.00,0.00,0.00,0.09,0.588,0.588
0,65,14,0.64,0.00,0.00,0.00,0.09,0.588,0.588,30,10,21.10,8.04,3.26,0.22,0.95,0.706,0.646
1,3,1,79.06,49.94,29.66,12.10,2.91,0.695,0.69,20,4,39.84,13.38,5.26,0.80,1.37,0.621,0.607
0,20,4,39.84,13.38,5.26,0.80,1.37,0.621,0.607,3,1,79.06,49.94,29.66,12.10,2.91,0.695,0.69
0,59,12,3.64,0.34,0.00,0.00,0.2,0.54,0.54,61,15,1.00,0.10,0.00,0.00,0.09,0.65,0.65
0,59,12,3.64,0.34,0.00,0.00,0.2,0.54,0.54,37,8,8.90,2.66,0.72,0.10,0.57,0.484,0.669
1,37,8,8.90,2.66,0.72,0.10,0.57,0.484,0.669,59,12,3.64,0.34,0.00,0.00,0.2,0.54,0.54
0,56,15,1.50,0.18,0.02,0.00,0.1,0.513,0.501,51,14,3.32,0.30,0.04,0.00,0.22,0.506,0.506
1,51,14,3.32,0.30,0.04,0.00,0.22,0.506,0.506,56,15,1.50,0.18,0.02,0.00,0.1,0.513,0.501
0,47,11,7.40,1.91,0.39,0.00,0.49,0.662,0.622,45,7,9.48,2.62,0.64,0.00,0.51,0.581,0.624
1,45,7,9.48,2.62,0.64,0.00,0.51,0.581,0.624,47,11,7.40,1.91,0.39,0.00,0.49,0.662,0.622
1,33,9,12.02,3.94,1.24,0.18,0.73,0.677,0.54,7,5,63.44,32.84,17.80,5.56,2.18,0.642,0.656
0,7,5,63.44,32.84,17.80,5.56,2.18,0.642,0.656,33,9,12.02,3.94,1.24,0.18,0.73,0.677,0.54
0,36,6,14.22,5.34,1.52,0.10,0.73,0.667,0.665,14,5,45.56,19.86,10.22,1.80,1.71,0.553,0.611
1,14,5,45.56,19.86,10.22,1.80,1.71,0.553,0.611,36,6,14.22,5.34,1.52,0.10,0.73,0.667,0.665
1,27,6,24.98,7.84,2.48,0.34,0.83,0.546,0.524,32,11,20.14,8.27,3.64,0.38,0.78,0.731,0.716
0,6,2,65.36,39.84,21.88,6.10,2.4,0.689,0.66,3,1,79.06,49.94,29.66,12.10,2.91,0.695,0.69
1,6,2,65.36,39.84,21.88,6.10,2.4,0.689,0.66,15,2,57.18,26.48,11.04,1.72,1.93,0.679,0.679
0,15,2,57.18,26.48,11.04,1.72,1.93,0.679,0.679,6,2,65.36,39.84,21.88,6.10,2.4,0.689,0.66
0,33,9,12.02,3.94,1.24,0.18,0.73,0.677,0.54,43,9,9.94,2.86,0.80,0.02,0.59,0.607,0.59
1,43,9,9.94,2.86,0.80,0.02,0.59,0.607,0.59,33,9,12.02,3.94,1.24,0.18,0.73,0.677,0.54
1,20,4,39.84,13.38,5.26,0.80,1.37,0.621,0.607,41,8,6.58,2.42,0.68,0.04,0.47,0.622,0.562
0,41,8,6.58,2.42,0.68,0.04,0.47,0.622,0.562,20,4,39.84,13.38,5.26,0.80,1.37,0.621,0.607
0,7,5,63.44,32.84,17.80,5.56,2.18,0.642,0.656,18,7,30.92,15.08,6.40,1.14,1.36,0.579,0.584
1,18,7,30.92,15.08,6.40,1.14,1.36,0.579,0.584,7,5,63.44,32.84,17.80,5.56,2.18,0.642,0.656
