"PLAYIN_FLAG","RD1_WIN","RD2_WIN","RD3_WIN","RD4_WIN","RD5_WIN","RD6_WIN","RD7_WIN","TEAM_ALIVE","TEAM_ID","TEAM_NAME","TEAM_RATING","TEAM_REGION","TEAM_SEED","RANK","SCHOOL","WL","PCT","RPI","WL_NC","PCT_NC","RPI_NC","RANK_NC","WL_C","PCT_C","RPI_C","RANK_OLD","ROAD","NC","OPP","WIN","LOSS","WL_1_25","WL_26_50","WL_51_100","WL_101_200","WL_201","ND1"
0,1,0.12990083,0.027687,0.00311017,0.00039728,0.0000652,0.0000124,1,278,"Fresno State",76.61,"Midwest","14",83,"Fresno State","20-9",0.6897,0.5553,"7-4",0.6364,0.5207,141,"13-5",0.7222,0.5745,66,"6-7","0-0",170,195,116,"0-2","1-1","0-2","11-2","8-2","2-0"
0,1,0.14457226,0.03384366,0.00262335,0.00037461,0.0000813,0.0000138,1,62,"Hawaii",78.02,"South","13",94,"Hawaii","22-5",0.8148,0.5477,"9-2",0.8182,0.5416,101,"13-3",0.8125,0.5489,90,"7-2","0-0",196,219,96,"0-1","0-1","5-2","3-0","14-1","2-0"
0,1,0.0514809,0.01348492,0.00288726,0.00036377,0.0000533,0.00000912,1,2393,"Middle Tennessee",75.02,"Midwest","15",95,"Middle Tennessee","19-9",0.6786,0.5463,"6-4",0.6,0.56,78,"13-5",0.7222,0.5376,108,"7-5","2-1",187,224,108,"0-0","0-2","1-2","7-5","11-0","2-0"
0,1,0.14235571,0.01995303,0.00274466,0.00036017,0.0000737,0.0000119,1,2084,"Buffalo",75.66,"South","14",113,"Buffalo","16-14",0.5333,0.5358,"6-6",0.5,0.5262,131,"10-8",0.5556,0.5405,104,"5-9","2-0",145,196,86,"0-2","0-5","0-2","9-5","7-0","1-0"
0,1,0.11768487,0.02813062,0.00456128,0.0009999,0.00014129,0.0000241,1,2739,"Green Bay",76.18,"West","14",116,"Green Bay","21-12",0.6364,0.5323,"6-5",0.5455,0.5247,133,"15-7",0.6818,0.5256,127,"8-9","4-0",189,231,116,"0-0","1-1","1-5","7-5","12-1","2-0"
0,1,0.05872659,0.00801166,0.00082059,0.0000505,0.00000599,0.0000008,1,2692,"Weber State",73.28,"East","15",127,"Weber State","20-8",0.7143,0.5262,"5-5",0.5,0.5216,140,"15-3",0.8333,0.5306,119,"7-6","3-1",231,255,172,"0-0","1-1","0-1","3-3","16-3","3-0"
0,1,0.04141681,0.01194585,0.00320875,0.00082242,0.0000881,0.0000116,1,2934,"Cal State Bakersfield",74.97,"West","15",136,"Cal State Bakersfield","18-8",0.6923,0.5234,"7-5",0.5833,0.518,150,"11-3",0.7857,0.5238,129,"7-7","0-0",227,278,113,"0-0","0-1","1-3","2-4","15-0","3-0"
0,1,0.03706028,0.00711099,0.00108673,0.00012474,0.0000226,0.00000321,1,2427,"NC-Asheville",74.17,"South","15",139,"NC-Asheville","20-11",0.6452,0.5206,"5-5",0.5,0.5171,151,"15-6",0.7143,0.5099,154,"6-7","5-1",205,238,144,"0-1","0-0","1-1","5-9","14-0","2-0"
0,1,0.01742235,0.00193607,0.00010849,0.00000624,0.00000035,0.00000002,1,2261,"Hampton",68.61,"Midwest","16",174,"Hampton","18-10",0.6429,0.4988,"4-7",0.3636,0.5114,160,"14-3",0.8235,0.4893,187,"8-7","2-1",243,299,141,"0-1","0-2","0-2","1-1","17-4","1-0"
0,1,0.00972934,0.00089393,0.0000937,0.00000661,0.00000061,0.00000004,1,2046,"Austin Peay",68.83,"South","16",188,"Austin Peay","16-17",0.4848,0.4899,"5-8",0.3846,0.4991,173,"11-9",0.55,0.4642,228,"7-9","4-1",192,248,140,"0-1","0-0","1-6","3-5","12-5","2-0"
1,0.32773963,0.00242482,0.00028391,0.0000165,0.00000145,0.00000008,0,1,161,"Fairleigh Dickinson",66.72,"East","16b",204,"Fairleigh Dickinson","17-14",0.5484,0.481,"3-7",0.3,0.4658,221,"14-7",0.6667,0.4702,219,"9-8","0-0",237,260,208,"0-1","0-1","0-1","3-2","14-9","1-0"
1,0.67226037,0.00903984,0.00175648,0.00013275,0.000015,0.00000158,0.00000019,1,526,"Florida Gulf Coast",71.41,"East","16a",215,"Florida Gulf Coast","16-13",0.5517,0.4755,"5-7",0.4167,0.4734,211,"11-6",0.6471,0.4787,202,"4-8","0-1",215,251,171,"0-1","0-1","0-2","3-3","13-6","4-0"
1,0.51992211,0.01317002,0.00131777,0.00012177,0.00000926,0.00000062,0.00000005,1,2582,"Southern",67.96,"West","16b",218,"Southern","16-12",0.5714,0.4742,"5-5",0.5,0.5305,118,"11-7",0.6111,0.4431,268,"6-10","1-1",249,278,211,"0-0","0-0","0-1","3-5","13-6","3-0"
1,0.48007789,0.00995139,0.00082815,0.0000608,0.00000368,0.00000017,0.00000001,1,107,"Holy Cross",66.85,"West","16a",250,"Holy Cross","14-19",0.4242,0.4528,"5-6",0.4545,0.4596,237,"9-13",0.4091,0.4456,263,"6-13","0-0",221,243,205,"0-1","0-0","0-0","4-8","10-10","0-0"
